class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
pos,62384,?,0,?,0,0,0,0,0,0,18328,124050,2522594,1194974,18896,0,1760004,0,64,0,0,0,3569048,3286442,414470,232356,0,0,0,0,0,0,0,0,0,0,0,28058,640324,2677286,533174,0,4248,2072,2856,5078,2591024,1273562,2,0,0,0,1378030,745368,489838,349266,259768,219338,315396,121838,0,0,3984084,1482,2694,98,30,1760004,36258,166714,245328,106460,125980,132740,1310700,1310700,1310700,1310700,1310700,42300,62384.43,3984084,3984084,3953316,24152,241222,31900,347120,3878842,1209600,0,?,?,?,3424035.84,0,450017.28,?,?,0,0,3416,60822,1379674,1932460,471110,26296,5022,42,?,0,3984084,?,4922,588,124302,196080,356624,2979776,215166,1382,2,0,?,?,?,?,?,?,?,?,?,2446,104,0,0,0,0,0,0,0,0,18198,43438,9124,0,0,156422,24808,5690880,742686,0,0,0,0,31388620,?,?,472388,690492,380752,201262,459866,496012,524776,381468,270284,1542,0,0
neg,327446,?,4212,?,0,0,0,0,13476,1700064,11305438,13259270,8095874,2319300,282358,5836,15355200,0,234,0,464100,774898,28152436,23350086,10414796,4447948,0,0,658,0,3102,320,0,0,0,0,0,432,1498462,31356392,4126330,0,27550,11722,25700,81552,210234,35853828,771028,2,0,0,20563578,10161982,3066694,1179236,610078,416840,315664,295532,165308,206704,39038736,4554,154,2094,114,15355200,633084,2323696,8077580,262680,205080,237020,315660,314440,339340,287960,311660,89220,327446.16,39038736,39038736,38943472,121561.0,80482,89836,262160,36981616,1209600,0,?,?,?,23539416,4409134.08,8999518.08,796,2878,1884,402694,5826780,14361274,9715948,5613008,1015482,42374,2150,22,?,12,39038736,?,22578,7034,12931698,3656384,7092062,13112974,158886,0,0,0,?,?,?,?,?,?,?,?,?,111774,2272,1262770,5181826,0,0,0,0,0,0,335950,71590,15690,63028450,8469960,1572758,203870,74942620,7789122,827600,293046,0,0,99128240,11787.62,15186,13896468,9013134,4061362,1697116,1831300,631230,1566644,4273290,11050,22,0,0
pos,803346,?,?,?,?,?,0,44,97816,1238418,6549154,32944084,19362848,1558818,100352,13822,26244140,15890,1376,?,358962,695858,52793018,47484032,9803670,5408600,?,0,151060,0,?,?,13746816,2074398,2268790,2662626,1737476,2695816,4596194,22031428,10051808,0,37142,24666,44434,108780,1026880,60531498,91744,178,12,18,21066116,13500124,7726816,6566938,5469260,4408596,2865812,261690,0,0,62956634,?,?,?,?,26244140,619528,4928350,4857640,251420,234680,134900,255420,171960,177140,146620,159420,2020,803346.09,62956634,62956634,62874490,367871.0,?,?,2500,61865372,1209600,?,?,?,?,55728474.24,0,6122544,188,9886,48,186894,1472460,15608412,33694752,10046296,733934,107136,14678,742,?,?,62956634,?,31280,6458,3615436,1736812,6558808,42061722,7810272,44552,12,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,337934,?,?,?,?,?,?,?,?,?,?,?,?,?,10804.12,13110,6318560,18312072,14024826,5839814,8662002,4740338,2448054,936432,580100,3156,?,?
neg,80094,?,2130706432,622,0,0,0,0,0,0,1186,541476,2403542,1539198,63720,4828,1942118,0,0,0,0,0,4088544,3585386,693778,426546,0,0,0,0,488,134,0,0,0,0,0,54682,1368288,2802510,328470,0,3354,1188,1718,2196,76300,4466690,2504,0,0,0,1023836,1361414,353672,288102,261610,249402,395058,619274,1582,0,4782912,4,36,656,0,1942118,52580,421284,271598,166000,183800,195460,?,?,?,?,?,141620,80093.97,4782912,4782912,4766146,34690,32,109070,1146140,4553950,1209600,148076,2,74,0,4111953.6,0,437835.84,0,958,0,0,0,141640,1388794,2261266,727254,28788,5774,434,0,6,4782912,?,6666,646,149852,162138,160858,2982342,1070058,21332,58,0,938,278,4111458,4016,0,18,0,8,4135030,2550,230,0,0,0,0,0,0,0,0,28528,90044,31950,0,0,108504,25768,8014980,801930,0,0,0,0,102650,1356.12,1594,460690,703538,452546,220112,443030,465734,576226,467140,716344,48590,0,0
neg,16,0,40,26,0,0,0,0,0,0,6,1856,2296,0,0,0,1480,0,0,0,0,0,4178,2844,8782,402,0,0,0,0,12,48,0,0,0,0,0,0,0,0,4158,0,40,10,24,466,568,3026,24,0,0,0,2636,496,136,56,46,38,358,120,140,132,12972,0,2,0,0,1480,104,7494,1278,?,?,?,?,?,?,?,?,8720,15.9,12972,12972,16324,21.0,0,1242,12900,4182,1209600,306,2,0,0,2044.8,0,1170.24,2,10,0,0,0,1000,2080,350,682,46,0,0,0,22,12972,0,976,10,10,180,136,946,1770,128,2,0,66,138,2158,130,0,0,0,0,2216,38,30,0,0,0,0,0,0,0,0,80,0,0,1582,696,134,34,7660,752,4852,8,0,0,0,70.94,26,2224,1494,292,30,62,22,28,6,0,0,0,0
neg,37798,?,274,252,0,0,0,0,0,0,11744,79730,1521530,534082,9822,0,977126,0,0,0,0,0,2034974,1888178,213150,114700,0,0,0,0,312,440,0,0,0,0,0,5184,874322,1130498,146904,0,2536,1596,2450,112770,1746622,290912,22,0,0,0,676872,581536,233172,171180,133152,112774,148110,100112,0,0,2248478,86,1006,214,6,977126,16966,105908,106320,123160,?,?,?,?,?,?,?,85840,37798.73,2248478,2248478,2239878,13695.0,516,101650,1034320,2156908,1209600,60994,2,66,0,1953065.28,0,202161.6,0,0,0,0,5858,36158,715072,1069874,311324,15682,2874,66,0,6,2248478,?,3126,414,20742,152004,57046,1202118,706128,15236,94,0,468,1080,1942302,90776,0,35984,0,72,1968778,1234,190,0,0,0,0,0,0,0,0,9330,29002,5454,0,0,69126,11142,89440,9276,0,0,0,0,36792330,749.84,902,218384,334204,210224,108428,211370,236122,276788,204386,339028,17974,0,0
pos,669258,?,0,?,0,0,0,0,0,27376,2395956,19766942,21282618,2826546,26046,186,23077910,3062,0,0,41720,85910,39509776,32813552,11689530,5291518,0,0,2018,0,0,0,0,0,0,0,0,24874,16753280,21736840,7810676,0,91414,62002,96260,196446,24491352,21387044,1132,18,2,0,16881324,8401016,3460076,2597360,2196856,2461556,4336240,5226250,746822,18170,51256242,1986,2230,5370,2814,23077910,727346,6687492,4946780,318320,201280,222760,201540,188800,247400,326660,370180,93180,669258.98,51256242,51256242,50101360,322159.0,3485204,45974,292440,46325670,1209600,0,?,?,?,41100499.2,0,5152873.92,0,0,0,4008,456416,9417934,22601302,11978362,1457798,333204,73072,3574,?,0,51256242,?,62216,11732,1730642,2368944,4658148,34173946,3294194,25842,6,0,?,?,?,?,?,?,?,?,?,41390,2808,0,0,0,0,0,0,0,0,443130,961448,180674,0,0,1903242,288730,62942640,10613678,0,0,0,0,64261320,23747.92,34180,5451692,10886166,7232794,3365666,6708328,5257360,3733742,1885496,1780986,23440,0,0
neg,14,0,16,12,4,2,0,0,0,0,2216,3672,1562,0,0,0,2630,0,0,0,0,0,18962,15930,25414,474,0,0,0,0,16,70,0,0,0,0,0,0,0,3298,4152,0,84,10,34,992,630,2978,2722,0,0,0,5600,422,148,162,86,172,670,108,36,46,44392,2,10,6,0,2630,198,23512,1790,?,?,?,?,?,?,?,?,25080,14.7,44392,44392,51798,41.0,0,4308,44100,7494,1209600,282,4,0,0,2100.48,0,3788.16,0,24,0,0,1356,3570,984,1368,138,34,0,0,2,2,44392,0,1638,12,8,494,128,4692,478,0,0,0,26,144,2754,100,0,0,0,0,2836,48,100,0,0,0,0,0,0,0,0,216,0,0,0,140,54,22,320,416,96,40,0,0,0,131.8,50,5496,1586,220,40,44,52,8,4,0,0,0,0
pos,2046336,?,?,2022,?,?,0,1178,111174,1690868,4686020,7249516,2182102,562510,249784,54892,45649622,189680,418,?,13573524,22579236,95871578,90899526,43015000,16974724,?,0,621780,1248,?,?,0,0,0,0,0,2544,1603848,14201556,980096,0,79066,56990,87356,267624,14995494,1301514,0,0,0,0,2960808,6766398,2082492,1349630,876310,615928,524938,1105340,436626,69574,152457314,?,?,?,?,45649622,1791840,11903822,31078558,339580,315220,351560,307580,317420,284740,280060,312920,349340,2046335.34,152457314,152457314,17410390,127266,?,?,1177280,16788044,1209600,?,120,34,0,104224017.6,20925792,24584315.52,1958,3496,872,99714,1035970,4371756,6361426,4025002,816892,72006,4230,176,2760,?,152457314,?,7118,1880,2432286,3018212,10886468,439856,2224,0,0,0,2584,4328,9201136,1006844,0,23090,0,0,10913404,?,?,?,?,?,?,?,?,?,?,1107666,?,?,?,?,?,?,?,?,?,?,?,?,?,2544.28,2808,4923314,1375858,1234202,677250,1654404,2822636,2418050,1638314,44016,0,?,?
pos,431634,?,1072,3776,0,0,0,32,405660,10734042,17915630,12508814,5676376,1219886,123848,16058,17954242,3128,0,?,2564422,6068030,32465962,31490440,14607374,2739856,0,0,0,0,1786,50,0,0,0,0,0,0,61434,34231464,14307448,0,36164,36380,74142,124068,7770998,40558584,10,0,0,0,17493882,17293676,5768976,3022414,1790936,1120728,812904,659408,416176,221246,49642540,3730,8484,690,0,17954242,492816,3379160,11211940,619840,667620,505060,569100,584900,556720,574280,605780,593920,431633.44,49642540,49642540,49929792,226732,268,?,1181540,48600346,1209600,332744,1490,448,0,34192207.68,0,14357636.16,1258,4112,24426,1470712,12648276,19032322,11099256,3861928,411480,47298,4620,28,560,6,49642540,?,28122,6014,10857676,4277292,18680540,14680388,70314,0,0,0,5360,12250,28576864,3604160,288,100,0,0,31954616,14636,70,0,0,0,0,0,0,0,0,357758,37952,6930,0,0,390178,47744,2487540,250720,2298,0,0,0,17531320,10070.86,13538,14926172,14025932,9049640,2008174,4574740,2305948,1489132,212478,8130,0,0,0
neg,16,0,2130706432,10,0,0,0,0,0,0,4,808,7660,0,0,0,2888,0,0,0,0,0,13252,9978,6622,1242,0,0,0,0,18,106,0,0,0,0,0,0,0,2920,5552,0,90,34,32,798,276,2796,4446,0,0,0,6938,528,290,88,40,392,182,14,0,0,19904,4,4,4,0,2888,242,3200,3384,?,?,?,?,?,?,?,?,6440,15.92,19904,19904,22600,33.0,0,1838,19700,8542,1209600,432,2,2,0,2710.08,0,4798.08,0,24,0,0,0,460,6342,1670,0,0,0,0,0,4,19904,0,1020,14,20,614,1316,4928,560,0,0,0,16,266,3176,24,0,0,0,0,3324,104,40,0,0,0,0,0,0,0,0,218,0,0,0,0,160,42,4840,488,0,20,0,0,0,0.96,56,5942,2158,278,38,40,14,2,0,0,0,0,0
pos,479602,?,?,?,?,?,0,1768,327212,5309722,18341372,22101720,8875416,355608,0,0,17004186,1764,94,?,1031414,1987266,31618214,23301324,23430138,9086442,?,0,0,0,?,?,0,0,0,0,0,0,0,11293904,44018914,0,29258,8110,28126,69538,22676754,32500924,108,0,0,0,20924440,20016686,5276014,2603418,1671872,1200802,1035606,1450992,856694,276294,56087444,?,?,?,?,17004186,775752,3250698,20166494,446760,501880,504660,546480,442500,477600,465460,385300,134220,479601.04,56087444,56087444,264,0,?,?,350840,0,1209600,?,?,?,?,35209350.72,10326250.56,9745520.64,0,0,1306,672936,3476268,8819980,15928590,19938626,5880312,569012,25038,750,?,?,56087444,?,45990,8892,10121964,9629890,4216756,25023542,5877082,388430,272,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,456542,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,21176202,12890184,5446336,1893500,3558564,8627738,1362894,351764,5636,0,?,?
neg,398,0,12,10,0,0,0,0,0,0,24,10664,20778,662,0,0,14276,0,0,0,0,0,28826,23702,8140,2302,0,0,0,0,22,2,0,0,0,0,0,0,0,5842,26286,0,1232,32,34,38,44,17302,13446,0,0,0,13678,12078,2782,1360,1014,754,226,120,90,26,36996,0,4,0,4,14276,476,3328,4796,?,?,?,?,?,?,?,?,7820,398.24,36996,36996,36750,129.0,0,3506,36700,32180,1209600,1014,0,4,0,23196.48,0,7837.44,0,20,0,0,0,2492,16928,11280,1420,8,0,0,6,12,36996,0,1218,22,1904,654,2872,11872,12448,1094,44,0,38,16,23054,102,0,10,0,0,24012,66,50,0,0,0,0,0,0,0,0,386,0,2,0,0,812,172,2140,214,0,0,0,0,0,102.64,62,9284,4770,2772,1592,4900,3688,2818,2304,0,0,0,0
neg,45006,?,294,256,0,0,0,0,0,1452,425756,1437532,1182194,647998,33044,662,1694186,0,0,0,5526,8426,3435614,3042570,749966,273492,0,0,0,0,840,216,0,0,0,0,0,5082,394344,2455010,874202,0,4996,1578,2144,61086,2010756,1646164,1914,0,0,0,1510910,1089378,332968,217874,154174,124082,129994,160682,8576,0,4192722,382,280,1096,0,1694186,40364,423844,324424,203740,173980,243720,?,?,?,?,?,115780,45005.11,4192722,4192722,4166044,17624,14530,47756,550060,3728638,1209600,106154,0,110,0,3096611.52,0,626016.96,0,0,0,0,52244,768908,1194844,1101710,571942,34278,4628,84,88,92,4192722,?,10446,1242,44666,270894,277592,2314114,766230,43236,218,0,476,866,1529024,102884,0,105862,0,54,3141404,4962,388,0,0,0,0,0,0,0,0,22966,34184,5716,0,0,99170,13262,8092680,891598,0,0,0,0,6356460,2620.48,2956,664296,1207314,424004,170192,334114,391226,267592,130868,134494,4538,0,0
pos,245362,?,526,454,0,0,0,40,218122,3630712,17864054,10648196,5118444,1408460,94292,8,15055380,726,0,0,996000,1906202,36382240,33556074,25888890,3011540,0,0,0,0,3418,140,0,0,0,0,0,0,6557814,32374138,50376,0,27996,3478,5180,14554,12448664,26482352,98,6,0,0,25765208,8661858,2429332,1090164,563980,310036,133970,26892,780,108,63268200,30,18,58,2968,15055380,418070,20500588,5382632,577220,465500,468860,524660,493740,448800,500380,640020,168400,245361.18,63268200,63268200,63265936,73644,834,7900,332020,38982328,1209600,1054190,758,3526,0,22122214.08,0,16801229.76,16,10496,31836,1223198,9955056,14428172,7092130,4552976,1449418,218490,30410,642,2,14,63268200,?,59486,10998,3172256,13465226,4769254,14374458,3062232,68416,2,0,516,346,21934994,136,0,42,0,0,23394686,95946,5594,0,0,0,0,0,0,0,0,238028,50586,10692,56797864,10025408,1308814,183418,7420,754,62946000,10584,0,0,77451070,27588.56,25868,17391776,10550482,6028228,1889304,2095544,679740,264450,78128,4676,0,0,0
neg,29728,?,0,?,0,0,0,0,0,0,6736,832160,795322,31568,0,0,836098,0,188,0,0,0,1589870,1496224,176762,70752,0,0,0,0,0,0,0,0,0,0,0,45080,910922,98000,611784,0,4870,4550,6896,9342,377348,1216426,46354,0,0,0,612134,279352,175690,132756,94550,82424,87808,132318,66054,2700,1767026,0,846,70,0,836098,16454,103310,72898,117760,1310700,1310700,1310700,1310700,1310700,1310700,1310700,55500,29728.59,1767026,1767026,1756340,11537.0,181764,54186,553760,1665786,1209600,0,?,?,?,1544765.76,0,116759.04,?,?,0,0,796,273584,962984,394710,28672,4558,482,0,?,0,1767026,?,4158,326,94092,52850,137712,1275732,93298,7618,0,0,?,?,?,?,?,?,?,?,?,1056,72,0,0,0,0,0,0,0,0,7568,34788,6470,0,0,64760,12292,2684980,537070,0,0,0,0,1104080,?,?,132190,217264,192036,102724,184582,246906,216666,181218,189852,2348,0,0
neg,14,0,2,2,0,0,0,0,0,0,4,1776,2112,0,0,0,772,0,0,0,0,0,4444,2730,32850,580,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3892,0,34,38,60,700,696,2364,0,0,0,0,2074,448,204,106,194,58,470,148,152,38,37310,0,4,2,0,772,112,31250,1590,?,?,?,?,?,?,?,?,32740,13.63,37310,37310,42648,25.0,0,3678,37180,3912,1209600,258,2,2,0,1781.76,0,1039.68,4,20,0,0,0,1696,1052,1144,0,0,0,0,0,4,37310,0,1102,6,4,16,294,1104,1070,294,2,0,0,30,1614,172,0,0,0,0,1890,16,98,0,0,0,0,0,0,0,0,142,0,0,2614,1052,186,44,9300,930,5268,76,0,0,0,0.62,22,2164,1134,420,100,60,8,6,0,0,0,0,0
pos,268544,?,1374,?,0,0,0,0,49466,1667244,6459044,5123452,2155592,237294,36116,1770,7101846,0,0,0,472976,779312,12925218,11727020,3262002,1281576,0,0,0,0,1960,1328,0,0,0,0,0,0,23332,9936290,5770356,0,18362,16876,19728,35420,436504,15187594,15494,0,0,0,3015172,4622942,1950696,1491658,992020,726474,661412,1104130,938908,226566,16663296,14172,7874,10864,118,7101846,169368,1277130,1974864,198880,237980,227140,246440,224160,204220,213700,219020,144420,268544.27,16663296,16663296,16576486,128860,38458,65492,909160,15729978,1209600,0,?,?,?,13226703.36,588629.76,1898792.64,276,2342,4,184560,2416854,5968744,4266616,2529600,330372,29168,3984,76,?,0,16663296,?,13746,2538,1441820,1173282,7018892,6073172,6528,0,0,0,?,?,?,?,?,?,?,?,?,15780,2618,0,0,32560,607414,0,0,0,0,103604,144254,30566,45088234,4825942,372986,47632,14702660,1764726,15596596,151454,0,0,40234080,5285.86,6654,2554198,1338254,879496,603808,1640204,3774540,2786412,1836932,313348,2786,0,0
pos,263618,?,0,?,0,0,0,0,0,0,63024,4803630,8288686,1891360,52444,160,?,?,?,?,?,?,?,?,?,?,0,?,?,?,0,0,0,0,0,0,0,16678,5953494,8466910,662222,0,9084,4844,8354,18730,1065070,13549232,443974,16,0,0,6329404,2432800,1467134,1089654,901498,930382,1642150,306268,14,0,?,0,196,482,90,?,?,?,?,?,?,?,?,?,?,?,?,?,263618.33,?,?,15322028,87143.0,1270528,?,?,15099304,?,0,?,?,?,13512003.84,0,1570172.16,0,0,0,0,32,1008392,6367456,6063580,1469948,165942,23206,748,?,0,?,?,11974,2268,111048,1349694,669480,9802480,3132476,19884,0,0,?,?,?,?,?,?,?,?,?,10716,478,0,0,0,0,0,0,0,0,?,225860,47192,0,0,548042,75110,17127600,3233098,0,0,0,0,203618230,3955.16,5594,1671376,2390922,1041760,601632,1558960,1887424,1974006,1537220,2365100,70904,0,0
neg,10980,?,514,462,0,0,0,0,0,34936,222812,400458,185806,79066,8240,0,308710,0,0,0,37302,59698,871374,855488,129618,27798,0,0,0,0,1806,372,218292,12414,9642,18294,6106,70254,163410,263744,169162,0,1076,242,394,2872,88018,833928,4784,4,0,0,439822,349592,88092,31930,14120,5424,1862,476,0,0,1038648,40,66,414,2,308710,5426,67624,61430,?,?,?,?,?,?,?,?,127100,10979.63,1038648,1038648,1029058,2603.0,556,102408,1035380,931318,1209600,15848,0,34,0,625280.64,0,305040,0,0,0,13954,142112,368172,232536,149294,22644,2468,138,0,2,44,1038648,?,1586,226,2474,66424,24220,502090,313610,20482,206,0,774,1198,517842,197860,0,8,0,18,632346,754,110,0,0,0,0,0,0,0,0,3952,678,242,0,0,10316,2254,966440,98550,194812,366,0,0,9814160,595.56,544,313358,85988,52624,49324,293624,128456,6128,1198,618,0,0,0
neg,8,2,8,?,0,0,0,0,0,0,1152,1498,1268,0,0,0,1114,0,0,0,242,376,8918,8068,4608,308,0,0,0,0,0,0,0,0,0,0,0,0,0,3004,914,0,44,8,28,898,20,2920,0,0,0,0,2818,178,108,38,36,12,20,392,130,186,13774,0,2,0,0,1114,76,3650,948,?,?,?,?,?,?,?,?,4560,8.63,13774,13774,15102,21.0,0,1340,13700,3948,1209600,0,?,?,?,1388.16,0,1608,0,18,0,0,500,534,2032,278,574,0,0,0,?,4,13774,0,954,4,14,24,292,118,2214,298,0,0,?,?,?,?,?,?,?,?,?,28,26,0,0,0,0,0,0,0,0,80,0,0,0,0,18,6,16640,1680,580,6,0,0,0,76.68,32,2662,966,168,66,30,12,14,0,0,0,0,0
neg,1310,0,76,?,0,0,0,0,0,170,81882,6532,1618,0,0,0,37138,0,0,0,3908,7228,91568,83236,24580,7072,0,0,0,0,16,100,0,0,0,0,0,0,2368,59202,28632,0,1388,16,12,10,10,376,88230,0,160,0,34754,17258,13888,9284,5156,3618,2478,3248,514,4,120146,12,34,32,0,37138,1102,13804,10706,?,?,?,?,?,?,?,?,24060,1310.34,120146,120146,119454,446,1410,11634,119560,90384,1209600,0,?,?,?,72934.08,2747.52,13470.72,4,30,0,170,11066,12302,18458,25828,20466,1778,134,0,?,20,120146,0,1350,46,3470,2836,4706,17998,56500,3166,130,0,?,?,?,?,?,?,?,?,?,202,82,0,0,0,0,0,0,840,3976,798,186,34,0,0,2596,512,120820,13260,0,0,0,0,310360,216.44,146,18048,16138,8282,2966,6886,8442,5226,24074,140,0,0,0
neg,526,0,256,78,0,0,0,0,0,0,128,15138,54136,5740,0,0,24814,0,0,0,0,0,53430,42770,65892,3162,0,0,0,0,156,68,0,0,0,0,0,0,0,1764,73378,0,19726,300,618,588,1592,52304,14,0,0,0,45106,13482,3162,1992,1476,990,600,5610,2584,140,119418,0,2,16,0,24814,1150,55612,10196,?,?,?,?,?,?,?,?,65120,526.12,119418,119418,139860,532,166,11394,118620,75338,1209600,1568,0,12,0,30884.16,893.76,24396.48,24,70,0,0,0,7142,40962,20840,6104,86,8,0,6,10,119418,0,19300,36,1140,6248,6172,39072,2974,200,0,0,184,222,29790,2130,0,14,0,0,32744,172,238,0,0,0,892,0,0,0,0,778,76,12,12652,3194,982,240,4860,630,82602,102,0,0,0,430.44,202,35406,9178,1962,746,10740,788,1056,15240,26,0,0,0
neg,12,0,56,34,2,2,0,0,0,0,88,6640,4500,0,0,0,4998,0,58,0,0,0,19618,15922,28564,658,0,0,0,0,58,52,0,0,0,0,0,0,0,754,10474,0,1130,28,40,42,118,4158,5712,0,0,0,8296,1252,338,174,322,110,514,100,28,94,48206,4,8,0,0,4998,268,25272,2726,?,?,?,?,?,?,?,?,28100,11.16,48206,48206,49440,43.0,246,3454,47860,11278,1209600,628,0,6,0,4178.88,0,4880.64,2,18,0,0,0,2672,6700,1766,82,8,0,0,18,22,48206,0,1126,16,16,890,2284,1194,3522,1948,232,0,66,130,3376,288,0,0,0,0,4914,60,132,0,0,0,0,0,0,0,0,274,0,0,2610,706,180,58,3860,524,16434,10,0,0,0,108.62,58,6082,4170,366,62,120,100,140,188,0,0,2,10
neg,1784,?,44,44,0,0,0,0,0,0,228,27524,96828,2610,0,0,51942,0,0,0,0,0,119730,102500,42400,9546,0,0,0,0,22,16,0,0,0,0,0,0,74876,52314,0,0,1272,2638,1660,2420,16648,102540,12,0,0,0,73348,40766,8414,3146,786,326,258,146,0,0,162220,6,6,2,0,51942,1884,28192,14066,?,?,?,?,?,?,?,?,41580,1783.25,162220,162220,164408,379.0,1216,15684,161360,127190,1209600,5530,0,16,0,106698.24,0,20266.56,0,0,0,0,0,5926,85100,32014,3028,978,144,0,16,22,162220,?,562,60,1012,13326,3806,23018,79480,5780,146,0,90,62,108230,45826,0,20,0,34,108568,188,68,0,0,0,0,0,0,0,0,1048,326,98,0,0,3842,984,1200,262,0,0,0,0,783260,212.72,166,22770,26162,9724,3484,10298,51972,924,510,1258,88,0,0
neg,244,?,12,12,0,0,0,0,0,17918,8416,13396,11658,0,0,0,12724,0,0,0,6904,10296,36820,35902,17328,2906,0,0,0,0,44,30,0,0,0,0,0,0,0,11718,39670,0,1078,52,64,84,3372,46738,0,0,0,0,33332,11502,3968,1346,394,256,312,210,50,18,61120,4,10,24,0,12724,478,6556,10654,?,?,?,?,?,?,?,?,16880,243.24,61120,61120,60562,112,0,5786,60700,51388,1209600,1316,0,14,0,18183.36,19161.6,13010.88,0,16,0,14056,9254,12260,14584,912,310,12,0,0,18,22,61120,?,1166,32,102,9752,8262,11322,18944,1742,66,0,20,38,17344,4702,0,40,0,0,19686,140,142,50,19222,0,0,0,0,0,0,572,20,6,0,0,822,134,1300,128,0,0,0,0,0,165.54,114,34094,6790,2178,1908,1318,374,4504,222,0,0,0,0
neg,48860,?,204,100,0,0,0,0,0,0,5858,793994,2173290,240086,16414,738,1465832,0,0,0,0,0,2908060,2560026,473658,296338,0,0,0,0,212,96,0,0,0,0,0,46920,1120004,210228,1853228,0,2104,714,1236,121480,1969010,1135680,156,0,0,0,1007280,863934,418684,258764,185364,153482,157864,182288,2720,0,3382190,248,1056,258,0,1465832,39166,252254,218190,173460,146220,?,?,?,?,?,?,148280,48860.49,3382190,3382190,3389346,19878,140,92718,956560,3230380,1209600,87794,0,128,0,2944680.96,0,283777.92,0,0,0,0,0,150614,1402548,1467146,195904,11928,2198,42,0,4,3382190,?,3930,502,52192,174868,98246,2293854,584848,21614,326,0,254,252,2945308,235922,56,17738,0,0,2977224,1724,142,0,0,0,0,0,0,0,0,19800,35444,8916,0,0,110526,17378,15400,1610,0,0,0,0,3189370,906.02,1154,308980,556930,414058,280648,1057364,599874,8816,3082,628,0,0,0
neg,1162,?,24,18,0,0,0,0,0,0,856,26756,80410,22314,0,0,63294,0,132,0,0,0,138178,121978,21204,7194,0,0,0,0,124,30,0,0,0,0,0,1012,127760,0,1564,0,1928,94,122,130,258,127802,2,0,0,0,65190,37688,12228,7068,4546,2566,902,148,0,0,159526,36,14,130,6,63294,1720,7282,13840,?,?,?,?,?,?,?,?,20340,1162.85,159526,159526,160884,512,496,15354,158160,130336,1209600,3614,0,14,0,90880.32,4150.08,33026.88,0,48,0,0,0,8140,50066,40036,31194,804,76,20,0,10,159526,?,2250,80,4182,5608,4214,20048,84370,9148,436,0,32,164,27120,11246,0,1872,0,0,97392,344,30,0,0,130,4334,0,0,0,0,1338,376,110,0,0,1976,354,84040,9538,5200,258,0,0,0,305.42,250,41074,26106,33928,21908,7238,82,0,0,0,0,0,0
neg,2556,?,6,4,0,0,0,0,0,0,127688,14728,7560,0,0,0,68904,0,0,0,8932,15150,132232,130274,32172,2940,0,0,0,0,76,8,0,0,0,0,0,0,0,31884,118092,0,1364,446,1808,990,1234,143804,330,0,0,0,34526,49646,47622,11906,3330,1266,596,858,224,2,173428,22,4,128,2,68904,1494,12860,18978,?,?,?,?,?,?,?,?,31140,2555.46,173428,173428,172076,758,0,16796,172520,149976,1209600,2112,0,10,0,120814.08,0,28003.2,?,?,0,222,87290,49186,11776,1436,66,0,0,0,0,4,173428,?,1148,30,3786,6066,10842,124144,3960,0,0,0,8,14,121462,57044,0,4,0,0,122616,288,166,0,0,0,0,0,0,0,0,1248,376,66,20738,7710,2276,432,160,18,0,22,0,0,1555490,?,?,29914,10996,7604,3588,10074,12520,32932,42322,26,0,0,0
